USECODE_S,USECODE_SD,PARCEL_CAT
6500,TRANSPORTATION & COMMUNICATIONS (GENERAL),OTHER
6501,AIRPORT & RELATED,OTHER
6502,RAILROAD & RELATED,OTHER
6503,"FREEWAYS, STATE HWYS",OTHER
6504,"ROADS, STREETS, BRIDGES",OTHER
6505,BUS TERMINAL,OTHER
6506,"TELEGRAPH, TELEPHONE",OTHER
6507,RADIO OR TV STATION,OTHER
6508,TRUCK TERMINAL (MOTOR FREIGHT),OTHER
6509,CABLE TV STATION,OTHER
6510,HARBOR & MARINE TRANSPORTATION,OTHER
7000,AGRICULTURAL / RURAL (GENERAL),OTHER
7001,FARM (IRRIGATED OR DRY),OTHER
7002,RANCH,OTHER
7003,RANGE LAND (GRAZING),OTHER
7004,"CROP LAND, FIELD CROPS, ROW CROPS (ALL SOIL CLASSES)",OTHER
7005,ORCHARD (FRUIT; NUT),OTHER
7006,VINEYARD (AGRICULTURAL),OTHER
7007,POULTRY FARM (CHICKEN; TURKEY; FISH; BEES; RABBITS),OTHER
7008,DAIRY FARM,OTHER
7009,"TIMBERLAND, FOREST, TREES (AGRICULTURAL)",OTHER
7010,WILDLIFE (REFUGE),OTHER
7011,DESERT OR BARREN LAND,OTHER
7012,"PASTURE, MEADOW",OTHER
7013,"MISC. STRUCTURES - RANCH, FARM, FIXTURES",OTHER
7014,GROVE (AGRICULTURAL),OTHER
7015,FEEDLOTS,OTHER
7016,LIVESTOCK PARCEL,OTHER
7017,"HORTICULTURE, GROWING HOUSES, ORNAMENTAL (AGRICULTURAL)",OTHER
7018,WELL SITE (AGRICULTURAL),OTHER
7019,TRUCK CROPS (TOBACCO; CASH CROPS),OTHER
7020,"RESERVOIR, WATER SUPPLY",OTHER
7021,"IRRIGATION, FLOOD CONTROL",OTHER
7022,NATURAL RESOURCES,OTHER
7023,RURAL IMPROVED / NON-RESIDENTIAL,OTHER
8000,VACANT LAND (GENERAL),OTHER
8001,RESIDENTIAL-VACANT LAND,OTHER
8002,COMMERCIAL-VACANT LAND,OTHER
8003,INDUSTRIAL-VACANT LAND,OTHER
8004,"PRIVATE PRESERVE, OPEN SPACE-VACANT LAND (FOREST LAND, CONSERVATION)",OTHER
8005,INSTITUTIONAL-VACANT LAND,OTHER
8006,GOVERNMENT-VACANT LAND,OTHER
8007,MULTI-FAMILY-VACANT LAND,OTHER
8008,RURAL/AGRICULTURAL-VACANT LAND,OTHER
8009,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",OTHER
8010,RECREATIONAL-VACANT LAND,OTHER
8011,WATER AREA (LAKES; RIVER; SHORE)-VACANT LAND,OTHER
8012,"UNUSABLE LAND (REMNANT, STEEP, ETC.)",OTHER
8013,"ABANDONED SITE, CONTAMINATED SITE",OTHER
8014,UNDER CONSTRUCTION,OTHER
8500,SPECIAL PURPOSE,OTHER
8501,STATE BOARD OF EQUALIZATION - SPECIAL ASSESSMENTS,OTHER
8503,REDEVLOPMENT AGENCY OR ZONE,OTHER
9000,EXEMPT (FULL OR PARTIAL),OTHER
9001,INDIAN LANDS,OTHER
9100,INSTITUTIONAL (GENERAL),OTHER
9103,"COLLEGE, UNIVERSITY, VOCATIONAL SCHOOL-PRIVATE",OTHER
9104,HOSPITAL-PRIVATE,OTHER
9105,MEDICAL CLINIC,OTHER
9106,"HOMES (RETIRED; HANDICAP, REST; CONVALESCENT; NURSING)",OTHER
9107,"CHILDREN'S HOME, ORPHANAGE",OTHER
9108,CEMETERY (EXEMPT),OTHER
9109,"CREMATORIUM, MORTUARY (EXEMPT)",OTHER
9110,"CHARITABLE ORGANIZATION, FRATERNAL",OTHER
9111,"RECREATIONAL NON-TAXABLE (CAMPS, BOY/GIRL SCOUTS)",OTHER
9112,"PRIVATE UTILITY (ELECTRIC, WATER, GAS, NUCLEAR, SOLAR, WIND, ETC.)",OTHER
9200,GOVERNMENTAL/PUBLIC USE (GENERAL),OTHER
9201,MILITARY (OFFICE; BASE; POST; PORT; RESERVE; WEAPON RANGE; TEST SITES),OTHER
9202,"FOREST (PARK; RESERVE; RECREATION, CONSERVATION)",OTHER
9204,"COLLEGES, UNIVERSITY-PUBLIC",OTHER
9205,POST OFFICE,OTHER
9206,"CULTURAL, HISTORICAL (MONUMENTS; HOMES; MUSEUMS; OTHER)",OTHER
9207,GOVT. ADMINISTRATIVE OFFICE (FEDERAL; STATE; LOCAL; COURT HOUSE),OTHER
9208,"EMERGENCY (POLICE; FIRE; RESCUE; SHELTERS, ANIMAL SHELTER)",OTHER
9209,OTHER EXEMPT PROPERTY,OTHER
9210,"CITY, MUNICIPAL, TOWN, VILLAGE OWNED (EXEMPT)",OTHER
9211,COUNTY OWNED (EXEMPT),OTHER
9212,STATE OWNED (EXEMPT),OTHER
9213,FEDERAL PROPERTY (EXEMPT),OTHER
9214,PUBLIC HEALTH CARE FACILITY (EXEMPT),OTHER
9215,COMMUNITY CENTER (EXEMPT),OTHER
9216,"PUBLIC UTILITY (ELECTRIC, WATER, GAS, NUCLEAR, SOLAR, WIND, ETC.)",OTHER
9217,"WELFARE, SOCIAL SERVICE, LOW INCOME HOUSING (EXEMPT)",OTHER
9218,"CORRECTIONAL FACILITY, JAILS, PRISONS, INSANE ASYLUM",OTHER
9219,HOSPITAL-PUBLIC,OTHER
9300,HISTORICAL-PRIVATE (GENERAL),OTHER
9301,HISTORICAL RESIDENCE,OTHER
9304,HISTORICAL OFFICE,OTHER
NA,NA,NONE
